,date,utm_source,users
363,2020-02-21,yandex-direct,522
364,2020-02-22,-,394
365,2020-02-22,facebook_ads,182
366,2020-02-22,google_ads,317
367,2020-02-22,instagram_ads,256
368,2020-02-22,referal,86
369,2020-02-22,vk_ads,302
370,2020-02-22,yandex-direct,364
371,2020-02-23,-,204
372,2020-02-23,facebook_ads,114
373,2020-02-23,google_ads,157
374,2020-02-23,instagram_ads,149
375,2020-02-23,referal,51
376,2020-02-23,vk_ads,141
377,2020-02-23,yandex-direct,200
378,2020-02-24,-,134
379,2020-02-24,facebook_ads,70
380,2020-02-24,google_ads,137
381,2020-02-24,instagram_ads,93
382,2020-02-24,referal,63
383,2020-02-24,vk_ads,98
384,2020-02-24,yandex-direct,132
385,2020-02-25,-,97
386,2020-02-25,facebook_ads,56
387,2020-02-25,google_ads,110
388,2020-02-25,instagram_ads,86
389,2020-02-25,referal,38
390,2020-02-25,vk_ads,86
391,2020-02-25,yandex-direct,120
392,2020-02-26,-,122
393,2020-02-26,facebook_ads,54
394,2020-02-26,google_ads,90
395,2020-02-26,instagram_ads,87
396,2020-02-26,referal,26
397,2020-02-26,vk_ads,88
398,2020-02-26,yandex-direct,104
399,2020-02-27,-,106
400,2020-02-27,facebook_ads,46
401,2020-02-27,google_ads,94
402,2020-02-27,instagram_ads,73
403,2020-02-27,referal,37
404,2020-02-27,vk_ads,86
405,2020-02-27,yandex-direct,90
406,2020-02-28,-,127
407,2020-02-28,facebook_ads,53
408,2020-02-28,google_ads,75
409,2020-02-28,instagram_ads,55
410,2020-02-28,referal,37
411,2020-02-28,vk_ads,60
412,2020-02-28,yandex-direct,101
413,2020-02-29,-,125
414,2020-02-29,facebook_ads,57
415,2020-02-29,google_ads,107
416,2020-02-29,instagram_ads,89
417,2020-02-29,referal,47
418,2020-02-29,vk_ads,84
419,2020-02-29,yandex-direct,109
420,2020-03-01,-,159
421,2020-03-01,facebook_ads,50
422,2020-03-01,google_ads,101
423,2020-03-01,instagram_ads,77
424,2020-03-01,referal,41
425,2020-03-01,vk_ads,87
426,2020-03-01,yandex-direct,136
427,2020-03-02,-,87
428,2020-03-02,facebook_ads,35
429,2020-03-02,google_ads,80
430,2020-03-02,instagram_ads,63
431,2020-03-02,referal,30
432,2020-03-02,vk_ads,60
433,2020-03-02,yandex-direct,98
434,2020-03-03,-,103
435,2020-03-03,facebook_ads,38
436,2020-03-03,google_ads,87
437,2020-03-03,instagram_ads,47
438,2020-03-03,referal,21
439,2020-03-03,vk_ads,83
