date,install_group,date,device_id,install_group
2020-03-14,Установили в тот же день,2020-03-14,443,Установили в тот же день
2020-03-15,Остальные,2020-03-15,6120,Остальные
2020-03-15,Установили в тот же день,2020-03-15,478,Установили в тот же день
2020-03-16,Остальные,2020-03-16,5786,Остальные
2020-03-16,Установили в тот же день,2020-03-16,360,Установили в тот же день
2020-03-17,Остальные,2020-03-17,6111,Остальные
2020-03-17,Установили в тот же день,2020-03-17,431,Установили в тот же день
2020-03-18,Остальные,2020-03-18,6148,Остальные
2020-03-18,Установили в тот же день,2020-03-18,1171,Установили в тот же день
2020-03-19,Остальные,2020-03-19,6037,Остальные
2020-03-19,Установили в тот же день,2020-03-19,1406,Установили в тот же день
2020-03-20,Остальные,2020-03-20,5743,Остальные
2020-03-20,Установили в тот же день,2020-03-20,1408,Установили в тот же день
2020-03-21,Остальные,2020-03-21,5608,Остальные
2020-03-21,Установили в тот же день,2020-03-21,1235,Установили в тот же день
2020-03-22,Остальные,2020-03-22,5440,Остальные
2020-03-22,Установили в тот же день,2020-03-22,1261,Установили в тот же день
2020-03-23,Остальные,2020-03-23,7112,Остальные
2020-03-23,Установили в тот же день,2020-03-23,1692,Установили в тот же день
2020-03-24,Остальные,2020-03-24,7813,Остальные
2020-03-24,Установили в тот же день,2020-03-24,1850,Установили в тот же день
2020-03-25,Остальные,2020-03-25,7990,Остальные
2020-03-25,Установили в тот же день,2020-03-25,1824,Установили в тот же день
2020-03-26,Остальные,2020-03-26,7861,Остальные
2020-03-26,Установили в тот же день,2020-03-26,1395,Установили в тот же день
2020-03-27,Остальные,2020-03-27,6610,Остальные
2020-03-27,Установили в тот же день,2020-03-27,1199,Установили в тот же день
2020-03-28,Остальные,2020-03-28,5374,Остальные
2020-03-28,Установили в тот же день,2020-03-28,1091,Установили в тот же день
2020-03-29,Остальные,2020-03-29,4818,Остальные
2020-03-29,Установили в тот же день,2020-03-29,1117,Установили в тот же день
2020-03-30,Остальные,2020-03-30,4710,Остальные
2020-03-30,Установили в тот же день,2020-03-30,994,Установили в тот же день
2020-03-31,Остальные,2020-03-31,4322,Остальные
2020-03-31,Установили в тот же день,2020-03-31,968,Установили в тот же день
